"","Modelo","AIC","BIC"
"1","AR1",211.238862838883,214.226059659545
"2","MA1",216.023138388955,219.010335209617
"3","MA2",210.028054403671,214.010983497887
"4","ARMA11",213.238639963173,217.221569057389
"5","ARMA12",211.875109963528,216.853771331298
